UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
Q8NDB2;BANK1;B-cell scaffold protein with ankyrin repeats;Olink Explore Inflammation, Olink Target 96 Organ Damage;Group enriched: intestine, lymphoid tissue
Q8NEZ2;VPS37A;Vacuolar protein sorting-associated protein 37A;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q8NFP4;MDGA1;MAM domain-containing glycosylphosphatidylinositol anchor protein 1;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enriched: brain
Q8NFT8;DNER;Delta and Notch-like epidermal growth factor-related receptor;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: adrenal gland, brain, choroid plexus
Q8NHJ6;LILRB4;Leukocyte immunoglobulin-like receptor subfamily B member 4;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: lung, lymphoid tissue
Q8NHL6;LILRB1;Leukocyte immunoglobulin-like receptor subfamily B member 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: lymphoid tissue
Q8NI22;MCFD2;Multiple coagulation factor deficiency protein 2;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q8TAD2;IL17D;Interleukin-17D;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Group enriched: brain, skeletal muscle
Q8TCT1;PHOSPHO1;Phosphoethanolamine/phosphocholine phosphatase;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enriched: testis
Q8TCZ2;CD99L2;CD99 antigen-like protein 2;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: skeletal muscle
Q8TD06;AGR3;Anterior gradient protein 3;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: fallopian tube, intestine, lung
Q8TD46;CD200R1;Cell surface glycoprotein CD200 receptor 1;Olink Explore Inflammation, Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue
Q8TDQ0;HAVCR2;Hepatitis A virus cellular receptor 2;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: lymphoid tissue
Q8TDQ1;CD300LF;CMRF35-like molecule 1;Olink Explore Oncology, Olink Target 96 Neurology;Tissue enhanced: bone marrow, lung, lymphoid tissue
Q8TE58;ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: adipose tissue
Q8TEU8;WFIKKN2;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2;Olink Explore Inflammation, Olink Target 96 Development;Group enriched: choroid plexus, ovary
Q8WTT0;CLEC4C;C-type lectin domain family 4 member C;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue
Q8WTU2;SSC4D;Scavenger receptor cysteine-rich domain-containing group B protein;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: kidney, parathyroid gland, pituitary gland
Q8WUW1;BRK1;Protein BRICK1;Olink Explore Neurology, Olink Target 96 Oncology III;Low tissue specificity
Q8WVQ1;CANT1;Soluble calcium-activated nucleotidase 1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q8WX77;IGFBPL1;Insulin-like growth factor-binding protein-like 1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: thyroid gland
Q8WXI8;CLEC4D;C-type lectin domain family 4 member D;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enriched: bone marrow
Q8WYN0;ATG4A;Cysteine protease ATG4A;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
Q92520;FAM3C;Protein FAM3C;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q92558;WASF1;Actin-binding protein WASF1;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Tissue enhanced: brain, testis
Q92597;NDRG1;Protein NDRG1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: brain
Q92692;NECTIN2;Nectin-2;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q92752;TNR;Tenascin-R;Olink Explore Neurology, Olink Target 96 Neurology;Group enriched: brain, retina
Q92765;FRZB;Secreted frizzled-related protein 3;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: retina
Q92823;NRCAM;Neuronal cell adhesion molecule;Olink Explore Cardiometabolic, Olink Target 96 Neurology;Tissue enhanced: adrenal gland, brain, epididymis, retina
Q92832;NELL1;Protein kinase C-binding protein NELL1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: brain, kidney
Q92844;TANK;TRAF family member-associated NF-kappa-B activator;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
Q92876;KLK6;Kallikrein-6;Olink Explore Oncology, Olink Target 96 Cardiovascular III;Tissue enhanced: brain, esophagus
Q92956;TNFRSF14;Tumor necrosis factor receptor superfamily member 14;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Low tissue specificity
Q92982;NINJ1;Ninjurin-1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: bone marrow
Q969V3;NCLN;Nicalin;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Low tissue specificity
Q969Z4;RELT;Tumor necrosis factor receptor superfamily member 19L;Olink Explore Neurology, Olink Target 96 Development;Tissue enriched: bone marrow
Q96AP7;ESAM;Endothelial cell-selective adhesion molecule;Olink Explore Cardiometabolic, Olink Target 96 Development;Low tissue specificity
Q96B36;AKT1S1;Proline-rich AKT1 substrate 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q96B86;RGMA;Repulsive guidance molecule A;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: skeletal muscle
Q96DB9;FXYD5;FXYD domain-containing ion transport regulator 5;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
Q96EK5;KIFBP;KIF-binding protein;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q96F46;IL17RA;Interleukin-17 receptor A;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow
Q96FQ6;S100A16;Protein S100-A16;Olink Explore Neurology, Olink Target 96 Oncology III;Tissue enhanced: esophagus
Q96GP6;SCARF2;Scavenger receptor class F member 2;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
Q96GW7;BCAN;Brevican core protein;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enriched: brain
Q96H15;TIMD4;T-cell immunoglobulin and mucin domain-containing protein 4;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Group enriched: lymphoid tissue, testis
Q96I15;SCLY;Selenocysteine lyase;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: liver
Q96I82;KAZALD1;Kazal-type serine protease inhibitor domain-containing protein 1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue
Q96IU4;ABHD14B;Putative protein-lysine deacylase ABHD14B;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q96J42;TXNDC15;Thioredoxin domain-containing protein 15;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q96JA1;LRIG1;Leucine-rich repeats and immunoglobulin-like domains protein 1;Olink Explore Oncology, Olink Target 96 Metabolism;Tissue enhanced: pancreas
Q96KN2;CNDP1;Beta-Ala-His dipeptidase;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: brain
Q96LA5;FCRL2;Fc receptor-like protein 2;Olink Explore Inflammation, Olink Target 96 Neurology;Group enriched: intestine, lymphoid tissue
Q96LA6;FCRL1;Fc receptor-like protein 1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Group enriched: bone marrow, intestine, lymphoid tissue
Q96LC7;SIGLEC10;Sialic acid-binding Ig-like lectin 10;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue
Q96NY8;NECTIN4;Nectin-4;Olink Explore Oncology, Olink Target 96 Oncology II;Group enriched: esophagus, salivary gland, skin 1, vagina
Q96NZ8;WFIKKN1;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
Q96P31;FCRL3;Fc receptor-like protein 3;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enriched: lymphoid tissue
Q96PL1;SCGB3A2;Secretoglobin family 3A member 2;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Tissue enriched: lung
Q96PQ0;SORCS2;VPS10 domain-containing receptor SorCS2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: brain
Q96RD9;FCRL5;Fc receptor-like protein 5;Olink Explore Neurology, Olink Target 96 Development;Tissue enriched: lymphoid tissue
Q96RJ3;TNFRSF13C;Tumor necrosis factor receptor superfamily member 13C;Olink Explore Inflammation, Olink Target 96 Neuro Exploratory;Group enriched: intestine, lymphoid tissue
Q96RT1;ERBIN;Erbin;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: brain
Q96SB3;PPP1R9B;Neurabin-2;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: brain
Q96SM3;CPXM1;Probable carboxypeptidase X1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: gallbladder
Q99075;HBEGF;Proheparin-binding EGF-like growth factor;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Tissue enhanced: urinary bladder
Q99426;TBCB;Tubulin-folding cofactor B;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: brain
Q99497;PARK7;Parkinson disease protein 7;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
Q99523;SORT1;Sortilin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: brain
Q99536;VAT1;Synaptic vesicle membrane protein VAT-1 homolog;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q99538;LGMN;Legumain;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
Q99650;OSMR;Oncostatin-M-specific receptor subunit beta;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
Q99717;SMAD5;Mothers against decapentaplegic homolog 5;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
Q99727;TIMP4;Metalloproteinase inhibitor 4;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Tissue enhanced: adipose tissue, breast
Q99748;NRTN;Neurturin;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: heart muscle, pancreas
Q99795;GPA33;Cell surface A33 antigen;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enriched: intestine
Q99895;CTRC;Chymotrypsin-C;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enriched: pancreas
Q99969;RARRES2;Retinoic acid receptor responder protein 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: adrenal gland, liver, pancreas
Q99972;MYOC;Myocilin;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: tongue
Q99983;OMD;Osteomodulin;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
Q99988;GDF15;Growth/differentiation factor 15;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: kidney, urinary bladder
Q9BQB4;SOST;Sclerostin;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: kidney
Q9BQR3;PRSS27;Serine protease 27;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Group enriched: esophagus, vagina
Q9BS26;ERP44;Endoplasmic reticulum resident protein 44;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q9BS40;LXN;Latexin;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: urinary bladder
Q9BSL1;UBAC1;Ubiquitin-associated domain-containing protein 1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: skeletal muscle, tongue
Q9BTE6;AARSD1;Alanyl-tRNA editing protein Aarsd1;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q9BUD6;SPON2;Spondin-2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: endometrium 1
Q9BW30;TPPP3;Tubulin polymerization-promoting protein family member 3;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: fallopian tube
Q9BXJ1;C1QTNF1;Complement C1q tumor necrosis factor-related protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: adipose tissue, heart muscle
Q9BXJ7;AMN;Protein amnionless;Olink Explore Inflammation, Olink Target 96 Organ Damage;Group enriched: intestine, kidney, liver
Q9BXN2;CLEC7A;C-type lectin domain family 7 member A;Olink Explore Inflammation, Olink Target 96 Immune Response;Group enriched: bone marrow, lung, lymphoid tissue
Q9BXY4;RSPO3;R-spondin-3;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: endometrium 1
Q9BY76;ANGPTL4;Angiopoietin-related protein 4;Olink Explore Inflammation, Olink Target 96 Development;Tissue enhanced: adipose tissue, breast, liver
Q9BYC5;FUT8;Alpha-(1,6)-fucosyltransferase;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: brain
Q9BYE9;CDHR2;Cadherin-related family member 2;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enriched: intestine
Q9BYF1;ACE2;Angiotensin-converting enzyme 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: gallbladder, intestine, kidney
Q9BYH1;SEZ6L;Seizure 6-like protein;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enriched: brain
Q9BYZ8;REG4;Regenerating islet-derived protein 4;Olink Explore Inflammation, Olink Target 96 Metabolism;Tissue enriched: intestine
Q9BZM5;ULBP2;UL16-binding protein 2;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: esophagus
Q9BZR6;RTN4R;Reticulon-4 receptor;Olink Explore Oncology, Olink Target 96 Metabolism;Tissue enhanced: brain, liver
Q9BZZ2;SIGLEC1;Sialoadhesin;Olink Explore Inflammation, Olink Target 96 Neurology;Low tissue specificity
Q9C035;TRIM5;Tripartite motif-containing protein 5;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
Q9C0C4;SEMA4C;Semaphorin-4C;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
Q9GZM7;TINAGL1;Tubulointerstitial nephritis antigen-like;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q9GZT9;EGLN1;Egl nine homolog 1;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: skeletal muscle
Q9GZY6;LAT2;Linker for activation of T-cells family member 2;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: bone marrow, lymphoid tissue
Q9H0C8;ILKAP;Integrin-linked kinase-associated serine/threonine phosphatase 2C;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q9H0P0;NT5C3A;Cytosolic 5'-nucleotidase 3A;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: skeletal muscle
Q9H156;SLITRK2;SLIT and NTRK-like protein 2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: brain, retina
Q9H1U4;MEGF9;Multiple epidermal growth factor-like domains protein 9;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: retina
Q9H2A7;CXCL16;C-X-C motif chemokine 16;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
Q9H3G5;CPVL;Probable serine carboxypeptidase CPVL;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: lymphoid tissue
Q9H3S3;TMPRSS5;Transmembrane protease serine 5;Olink Explore Neurology, Olink Target 96 Neurology;Group enriched: brain, choroid plexus
Q9H3U7;SMOC2;SPARC-related modular calcium-binding protein 2;Olink Explore Inflammation, Olink Target 96 Neurology;Low tissue specificity
Q9H477;RBKS;Ribokinase;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: liver
Q9H4A9;DPEP2;Dipeptidase 2;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enhanced: bone marrow, lymphoid tissue
Q9H4D0;CLSTN2;Calsyntenin-2;Olink Explore Inflammation, Olink Target 96 Metabolism;Group enriched: adipose tissue, brain, ovary
Q9H4F8;SMOC1;SPARC-related modular calcium-binding protein 1;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enhanced: brain, liver
Q9H5V8;CDCP1;CUB domain-containing protein 1;Olink Explore Neurology, Olink Target 96 Inflammation;Tissue enhanced: esophagus
Q9H5Y7;SLITRK6;SLIT and NTRK-like protein 6;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Tissue enhanced: salivary gland, urinary bladder
Q9H6B4;CLMP;CXADR-like membrane protein;Olink Explore Oncology, Olink Target 96 Metabolism;Tissue enhanced: adipose tissue
Q9H773;DCTPP1;dCTP pyrophosphatase 1;Olink Explore Cardiometabolic, Olink Target 96 Oncology III;Low tissue specificity
Q9H8J5;MANSC1;MANSC domain-containing protein 1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: salivary gland
Q9HAN9;NMNAT1;Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
Q9HAV5;EDA2R;Tumor necrosis factor receptor superfamily member 27;Olink Explore Oncology, Olink Target 96 Neurology;Low tissue specificity
Q9HAW4;CLSPN;Claspin;Olink Explore Neurology, Olink Target 96 Organ Damage;Tissue enhanced: bone marrow, lymphoid tissue, retina, testis
Q9HB29;IL1RL2;Interleukin-1 receptor-like 2;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: skin 1
Q9HBB8;CDHR5;Cadherin-related family member 5;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Group enriched: intestine, liver
Q9HBG7;LY9;T-lymphocyte surface antigen Ly-9;Olink Explore Inflammation, Olink Target 96 Oncology II;Tissue enhanced: bone marrow, intestine, lymphoid tissue
Q9HCB6;SPON1;Spondin-1;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Tissue enhanced: gallbladder
Q9HCK4;ROBO2;Roundabout homolog 2;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain, retina
Q9HCM2;PLXNA4;Plexin-A4;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: adipose tissue, brain
